compound_smiles	compound_source	gram-positive	gram-negative	fungi	acid-fast	compound_inchikey
NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O	spark	5.5	5.0			UOZODPSAJZTQNH-LSWIJEOBSA-N
CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](OC2=C(C)C3=C(C=C2)C(O)=C(NC(=O)C2=CC=C(O)C(CC=C(C)C)=C2)C(=O)O3)OC1(C)C	spark	6.0	5.0			YJQPYGGHQPGBLI-KGSXXDOSSA-N
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)c1c(O)cccc1[C@@]3(C)O	spark	7.0	6.0			OFVLGDICTFRJMM-WESIUVDSSA-N
C[C@@H]1[C@H](O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)[C@H]2[C@H](O)C[C@H]2\C([C@H](C[C@]12C)OC(C)=O)=C(/CCC=C(C)C)C(O)=O	spark	6.0	5.0			IECPWNUMDGFDKC-MZJAQBGESA-N
C[C@@H]1O[C@@H]1P(O)(O)=O	spark	6.0	4.0			YMDXZJFXQJVXBF-STHAYSLISA-N
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	spark	7.0	5.0			ULGZDMOVFRHVEP-RWJQBGPGSA-N
N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)c1ccccc1	spark	6.0	6.0			JAPHQRWPEGVNBT-UTUOFQBUSA-N
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(COC(C)=O)=C(N2C1=O)C(O)=O)c1csc(N)n1	spark	6.0	6.0			GPRBEKHLDVQUJE-QSWIMTSFSA-N
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(CSc4nnnn4C)=C(N3C2=O)C(O)=O)c2ccc(O)cc2)C(=O)C1=O	spark	6.0	5.5			GCFBRXLSHGKWDP-XCGNWRKASA-N
CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C	spark	7.0	6.0		7.0	JQXXHWHPUNPDRT-WLSIYKJHSA-N
OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+]([O-])=O	spark	5.0	5.0			WIIZWVCIJKGZOK-RKDXNWHRSA-N
